Sample Date,Sample ID,TRT,DITCH,T1,Soil Flux2
May_2022,1_MU_1,MU,1,1019.3902,0.429317718
May_2022,1_MU_2,MU,1,843.9504,0.374270806
May_2022,1_MF_1,MF,1,1064.8823,0.433654561
May_2022,1_MF_2,MF,1,1317.7065,0.516663235
May_2022,2_MU_1,MU,0,NA,0.282808995
May_2022,2_MU_2,MU,0,871.2738,0.16422203
May_2022,2_MF_1,MF,0,916.9307,0.33905822
May_2022,2_MF_2,MF,0,1008.388,0.376800215
May_2022,3_MU_1,MU,1,1017.8611,0.367317127
May_2022,3_MU_2,MU,1,764.6524,0.256473902
May_2022,3_MF_1,MF,1,885.5089,0.292695305
May_2022,3_MF_2,MF,1,1017.8153,0.415997339
May_2022,4_MU_1,MU,0,977.1879,NA
May_2022,4_MU_2,MU,0,1003.8402,0.371764902
May_2022,4_MF_1,MF,0,NA,0.288485797
May_2022,4_MF_2,MF,0,881.8299,0.359233598
May_2022,5_MU_1,MU,1,715.8327,0.236486935
May_2022,5_MU_2,MU,1,1049.3477,0.413613185
May_2022,5_MF_1,MF,1,837.912,0.457051192
May_2022,5_MF_2,MF,1,807.772,0.31677836
May_2022,6_MU_1,MU,0,991.6564,0.275527835
May_2022,6_MU_2,MU,0,788.566,0.346138605
May_2022,6_MF_1,MF,0,980.2123,0.352339402
May_2022,6_MF_2,MF,0,1470.4051,0.376865584
May_2022,7_MU_1,MU,1,860.5729,0.31444726
May_2022,7_MU_2,MU,1,625.8796,0.182667523
May_2022,7_MF_1,MF,1,715.6431,0.254878499
May_2022,7_MF_2,MF,1,908.3071,0.376769223
May_2022,8_MU_1,MU,0,801.7989,0.254411825
May_2022,8_MU_2,MU,0,1067.7538,0.268135527
May_2022,8_MF_1,MF,0,824.7423,0.297081075
May_2022,8_MF_2,MF,0,758.5165,0.31898581
June_2022,1_MU_1,MU,1,828.5458,0.345885979
June_2022,1_MU_2,MU,1,892.9141,0.280348382
June_2022,1_MF_1,MF,1,929.843,0.424299382
June_2022,1_MF_2,MF,1,1018.9012,0.345552303
June_2022,2_MU_1,MU,0,1046.7101,0.395315526
June_2022,2_MU_2,MU,0,868.323,0.23265291
June_2022,2_MF_1,MF,0,940.6648,0.32761007
June_2022,2_MF_2,MF,0,744.7264,0.3167251
June_2022,3_MU_1,MU,1,729.1606,0.244521014
June_2022,3_MU_2,MU,1,817.0642,0.348807732
June_2022,3_MF_1,MF,1,754.1855,0.341929847
June_2022,3_MF_2,MF,1,902.4077,0.370249955
June_2022,4_MU_1,MU,0,649.6704,0.260199704
June_2022,4_MU_2,MU,0,717.4083,0.277511236
June_2022,4_MF_1,MF,0,780.4071,0.290557984
June_2022,4_MF_2,MF,0,772.1154,0.326038661
June_2022,5_MU_1,MU,1,666.9819,0.329267608
June_2022,5_MU_2,MU,1,843.9854,0.218876492
June_2022,5_MF_1,MF,1,834.5502,0.399830849
June_2022,5_MF_2,MF,1,759.2544,0.313680131
June_2022,6_MU_1,MU,0,586.5424,0.33725244
June_2022,6_MU_2,MU,0,728.2796,0.23616108
June_2022,6_MF_1,MF,0,712.9708,0.420073443
June_2022,6_MF_2,MF,0,813.8819,0.2497566
June_2022,7_MU_1,MU,1,1095.4168,0.349971031
June_2022,7_MU_2,MU,1,762.0617,0.294265819
June_2022,7_MF_1,MF,1,699.345,0.309156626
June_2022,7_MF_2,MF,1,765.2183,0.343110796
June_2022,8_MU_1,MU,0,728.9395,0.283543214
June_2022,8_MU_2,MU,0,705.882,0.356928951
June_2022,8_MF_1,MF,0,717.84,0.251335171
June_2022,8_MF_2,MF,0,837.192,0.283162327
Jul_2022,1_MU_1,MU,1,863.0817,0.370094857
Jul_2022,1_MU_2,MU,1,612.6953,0.379137001
Jul_2022,1_MF_1,MF,1,823.868,0.486266425
Jul_2022,1_MF_2,MF,1,698.8349,0.332971699
Jul_2022,2_MU_1,MU,0,786.314,0.294118821
Jul_2022,2_MU_2,MU,0,812.7425,0.294891726
Jul_2022,2_MF_1,MF,0,932.2031,0.412922307
Jul_2022,2_MF_2,MF,0,1036.8846,0.372171684
Jul_2022,3_MU_1,MU,1,1002.7999,0.320384239
Jul_2022,3_MU_2,MU,1,849.6193,0.384595926
Jul_2022,3_MF_1,MF,1,979.2131,0.406217965
Jul_2022,3_MF_2,MF,1,988.875,0.50397826
Jul_2022,4_MU_1,MU,0,NA,NA
Jul_2022,4_MU_2,MU,0,749.9171,0.322274724
Jul_2022,4_MF_1,MF,0,NA,NA
Jul_2022,4_MF_2,MF,0,NA,NA
Jul_2022,5_MU_1,MU,1,1065.6353,0.432182435
Jul_2022,5_MU_2,MU,1,1085.6914,0.474966457
Jul_2022,5_MF_1,MF,1,794.2055,0.387180965
Jul_2022,5_MF_2,MF,1,881.6497,0.397197453
Jul_2022,6_MU_1,MU,0,1162.124,0.438801011
Jul_2022,6_MU_2,MU,0,1136.6179,0.431064678
Jul_2022,6_MF_1,MF,0,NA,0.379690333
Jul_2022,6_MF_2,MF,0,920.2379,0.229986523
Jul_2022,7_MU_1,MU,1,1023.0761,0.457373491
Jul_2022,7_MU_2,MU,1,1122.9217,0.467251784
Jul_2022,7_MF_1,MF,1,1755.2151,0.381851144
Jul_2022,7_MF_2,MF,1,1099.6689,0.42115593
Jul_2022,8_MU_1,MU,0,1077.1221,0.37949103
Jul_2022,8_MU_2,MU,0,1233.9263,0.415212934
Jul_2022,8_MF_1,MF,0,1140.4824,0.412193275
Jul_2022,8_MF_2,MF,0,1058.7739,0.236358308
Aug_2022,1_MU_1,MU,1,838.2597,NA
Aug_2022,1_MU_2,MU,1,764.4105,0.312108884
Aug_2022,1_MF_1,MF,1,1049.4597,0.45386224
Aug_2022,1_MF_2,MF,1,1011.1264,0.458811073
Aug_2022,2_MU_1,MU,0,915.9335,0.288019521
Aug_2022,2_MU_2,MU,0,819.0234,0.250674819
Aug_2022,2_MF_1,MF,0,909.0551,0.415839256
Aug_2022,2_MF_2,MF,0,860.217,0.247757371
Aug_2022,3_MU_1,MU,1,1049.5901,0.370362005
Aug_2022,3_MU_2,MU,1,837.6471,0.274645303
Aug_2022,3_MF_1,MF,1,NA,NA
Aug_2022,3_MF_2,MF,1,903.6974,0.328829225
Aug_2022,4_MU_1,MU,0,809.8395,0.275123201
Aug_2022,4_MU_2,MU,0,747.6754,0.235929746
Aug_2022,4_MF_1,MF,0,929.8935,0.238850532
Aug_2022,4_MF_2,MF,0,952.6636,0.157137752
Aug_2022,5_MU_1,MU,1,927.2096,0.176536683
Aug_2022,5_MU_2,MU,1,1079.9175,0.336313694
Aug_2022,5_MF_1,MF,1,1048.2134,0.332015014
Aug_2022,5_MF_2,MF,1,901.5697,0.232055725
Aug_2022,6_MU_1,MU,0,738.281,0.247913088
Aug_2022,6_MU_2,MU,0,795.6974,0.311565969
Aug_2022,6_MF_1,MF,0,980.1509,0.385923899
Aug_2022,6_MF_2,MF,0,972.5625,0.243800965
Aug_2022,7_MU_1,MU,1,1358.9611,0.314666851
Aug_2022,7_MU_2,MU,1,1409.2945,0.303245694
Aug_2022,7_MF_1,MF,1,1006.2882,0.190425056
Aug_2022,7_MF_2,MF,1,1304.3073,0.352428165
Aug_2022,8_MU_1,MU,0,1157.4164,0.297134663
Aug_2022,8_MU_2,MU,0,1211.2403,0.28513917
Aug_2022,8_MF_1,MF,0,1089.4987,0.282841321
Aug_2022,8_MF_2,MF,0,1104.3031,0.349496576