Sample_Date,Sample_ID,T0_CO2_ppm,T0_CH4_ppm,T0_N2O_ppm
August_2021,1_MU_1,775.5477,2.233329,0.6330444
August_2021,1_MU_2,NA,NA,NA
August_2021,1_MF_1,633.6526,2.025,0.3460873
August_2021,1_MF_2,661.8526,2.064145,0.3556861
August_2021,2_MU_1,432.0158,1.883537,0.3339854
August_2021,2_MU_2,687.0603,1.826246,0.3055655
August_2021,2_MF_1,513.255,2.279532,0.3740394
August_2021,2_MF_2,695.5147,2.177887,0.3544954
August_2021,3_MU_1,446.3866,1.760723,0.2976313
August_2021,3_MU_2,534.6068,2.073218,0.3342649
August_2021,3_MF_1,559.4898,2.12026,0.3571381
August_2021,3_MF_2,454.2726,1.942172,0.3159055
August_2021,4_MU_1,613.2742,1.833471,0.2969994
August_2021,4_MU_2,492.8938,2.125468,0.3529887
August_2021,4_MF_1,565.7589,2.314813,0.3548295
August_2021,4_MF_2,558.0569,2.24845,0.3041196
August_2021,5_MU_1,456.9471,2.088675,0.3486388
August_2021,5_MU_2,463.8092,1.927555,0.3058814
August_2021,5_MF_1,487.6971,2.065489,0.3194717
August_2021,5_MF_2,477.056,2.072042,0.3472051
August_2021,6_MU_1,496.7791,2.254162,0.3476486
August_2021,6_MU_2,445.2142,2.103123,0.3347752
August_2021,6_MF_1,505.5931,2.083802,0.3305408
August_2021,6_MF_2,762.6506,1.927051,0.3166771
August_2021,7_MU_1,528.3053,1.980982,0.3863174
August_2021,7_MU_2,476.153,2.219721,0.3484566
August_2021,7_MF_1,420.8563,2.012903,0.301082
August_2021,7_MF_2,632.5008,1.970733,0.3288579
August_2021,8_MU_1,469.8564,2.105979,0.3477579
August_2021,8_MU_2,466.5114,2.125972,0.3919187
August_2021,8_MF_1,NA,NA,NA
August_2021,8_MF_2,501.7703,2.353791,0.3409719
June_2022,1_MU_1,342.861,1.981805,0.3439619
June_2022,1_MU_2,311.4421,2.011826,0.331749
June_2022,1_MF_1,305.2187,1.918644,0.3249729
June_2022,1_MF_2,684.2627,1.836119,0.331202
June_2022,2_MU_1,808.4284,1.773348,0.3205734
June_2022,2_MU_2,,1.982585,0.3332673
June_2022,2_MF_1,404.8712,1.944636,0.3384024
June_2022,2_MF_2,328.0071,1.946846,0.3261942
June_2022,3_MU_1,384.7715,1.759832,0.3256425
June_2022,3_MU_2,367.2289,1.761261,0.3173056
June_2022,3_MF_1,330.9643,1.886284,0.3286792
June_2022,3_MF_2,346.1923,1.86627,0.344358
June_2022,4_MU_1,354.6713,1.785304,0.3206866
June_2022,4_MU_2,325.7525,1.690042,0.3220682
June_2022,4_MF_1,356.2183,1.781145,0.3275522
June_2022,4_MF_2,454.408,1.691212,0.3112086
June_2022,5_MU_1,368.5788,1.908117,0.4038101
June_2022,5_MU_2,NA,1.987914,0.3437167
June_2022,5_MF_1,434.7488,1.858342,0.4063375
June_2022,5_MF_2,323.8675,1.734229,0.3020748
June_2022,6_MU_1,336.8564,1.9345,0.3360588
June_2022,6_MU_2,332.6219,1.843267,0.3382892
June_2022,6_MF_1,372.5277,1.842227,0.3291885
June_2022,6_MF_2,465.1802,2.192733,11.8237846
June_2022,7_MU_1,659.5044,2.221714,5.2251143
June_2022,7_MU_2,NA,1.992332,0.4550243
June_2022,7_MF_1,484.7608,1.79726,0.3275192
June_2022,7_MF_2,554.8919,1.893692,0.3357146
June_2022,8_MU_1,376.7342,1.868609,0.3338143
June_2022,8_MU_2,357.7121,1.848205,0.3368463
June_2022,8_MF_1,457.1575,1.954384,0.3444664
June_2022,8_MF_2,557.9513,1.862241,0.399519
Jul_2022,1_MU_1,NA,NA,NA
Jul_2022,1_MU_2,436.6502,2.195863,0.3339138
Jul_2022,1_MF_1,415.6801,1.723381,0.3036264
Jul_2022,1_MF_2,354.6528,1.232982,0.2134621
Jul_2022,2_MU_1,541.5475,2.095555,0.3462675
Jul_2022,2_MU_2,569.4005,2.19798,0.3375553
Jul_2022,2_MF_1,574.1794,2.16666,0.3432109
Jul_2022,2_MF_2,485.9538,2.271906,0.3468901
Jul_2022,3_MU_1,683.858,2.113331,0.3587249
Jul_2022,3_MU_2,474.6635,2.051255,0.3513005
Jul_2022,3_MF_1,510.8451,2.219988,0.3943472
Jul_2022,3_MF_2,499.7625,2.002159,0.4191725
Jul_2022,4_MU_1,NA,NA,NA
Jul_2022,4_MU_2,384.3148,1.950099,0.3100933
Jul_2022,4_MF_1,NA,NA,NA
Jul_2022,4_MF_2,NA,NA,NA
Jul_2022,5_MU_1,566.9395,2.379901,0.3227109
Jul_2022,5_MU_2,566.9395,2.47318,0.3193064
Jul_2022,5_MF_1,499.0406,2.257327,0.3196246
Jul_2022,5_MF_2,549.0209,2.423072,0.3253101
Jul_2022,6_MU_1,554.2862,2.263495,0.3098596
Jul_2022,6_MU_2,554.2862,2.263495,0.3098596
Jul_2022,6_MF_1,662.0549,2.662052,0.3418359
Jul_2022,6_MF_2,742.0034,2.30867,0.3215053
Jul_2022,7_MU_1,630.6707,2.359858,0.3200924
Jul_2022,7_MU_2,674.1907,2.287393,0.3327171
Jul_2022,7_MF_1,707.7037,2.170986,0.3235982
Jul_2022,7_MF_2,737.9656,2.23898,0.3399697
Jul_2022,8_MU_1,620.227,2.518664,0.3393332
Jul_2022,8_MU_2,720.806,2.512034,0.35217
Jul_2022,8_MF_1,621.3428,2.555204,0.3373705
Jul_2022,8_MF_2,729.1446,2.493995,0.3394344
Aug_2022,1_MU_1,NA,NA,NA
Aug_2022,1_MU_2,500.109,1.8624552,0.2694174
Aug_2022,1_MF_1,515.5379,1.9570924,0.289606
Aug_2022,1_MF_2,527.1036,2.1299257,0.2777945
Aug_2022,2_MU_1,661.8912,1.9958563,0.2855409
Aug_2022,2_MU_2,459.5824,1.8895899,0.2772702
Aug_2022,2_MF_1,464.5941,2.0489226,0.2892754
Aug_2022,2_MF_2,451.1411,1.821018,0.2655271
Aug_2022,3_MU_1,535.3343,1.9115115,0.2846975
Aug_2022,3_MU_2,NA,NA,NA
Aug_2022,3_MF_1,NA,NA,NA
Aug_2022,3_MF_2,614.588,2.0748543,0.2946246
Aug_2022,4_MU_1,518.9978,1.9532161,0.262446
Aug_2022,4_MU_2,488.1279,1.9292894,0.288679
Aug_2022,4_MF_1,619.0774,1.8645939,0.2619293
Aug_2022,4_MF_2,888.1709,1.9688553,0.2800739
Aug_2022,5_MU_1,866.401,1.9429236,0.2855257
Aug_2022,5_MU_2,605.9799,2.0263327,0.2637757
Aug_2022,5_MF_1,678.1395,1.9135165,0.256865
Aug_2022,5_MF_2,656.4338,1.9143186,0.2720274
Aug_2022,6_MU_1,531.3091,2.0038764,0.2798574
Aug_2022,6_MU_2,467.1554,1.9792814,0.2499962
Aug_2022,6_MF_1,585.1935,1.8179436,0.2605122
Aug_2022,6_MF_2,NA,NA,NA
Aug_2022,7_MU_1,928.0743,1.8890552,0.2757961
Aug_2022,7_MU_2,928.0743,1.8890552,0.2757961
Aug_2022,7_MF_1,755.3955,1.9534834,0.2895262
Aug_2022,7_MF_2,813.5642,1.7735657,0.3294892
Aug_2022,8_MU_1,746.7346,1.8596482,0.2658196
Aug_2022,8_MU_2,746.7346,1.8596482,0.2658196
Aug_2022,8_MF_1,724.5064,1.8089879,0.280488
Aug_2022,8_MF_2,659.3022,1.7278511,0.251949