Genome,Sample,TIGR03507,TIGR03509
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10NFC (3300036874) (MER-FS) (assembled)",10NFC,57,17
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10PFC (3300036875) (MER-FS) (assembled)",10PFC,58,23
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10Pre (3300036989) (MER-FS) (assembled)",10Pre,37,8
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11NFC (3300036995) (MER-FS) (assembled)",11NFC,47,14
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11PFC (3300036896) (MER-FS) (assembled)",11PFC,53,30
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11Pre (3300036868) (MER-FS) (assembled)",11Pre,49,19
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12NFC (3300036897) (MER-FS) (assembled)",12NFC,46,15
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12PFC (3300036898) (MER-FS) (assembled)",12PFC,48,21
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12Pre (3300036990) (MER-FS) (assembled)",12Pre,25,9
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16NFC (3300036899) (MER-FS) (assembled)",16NFC,50,21
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16PFC (3300036996) (MER-FS) (assembled)",16PFC,49,20
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16Pre (3300036991) (MER-FS) (assembled)",16Pre,22,10
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3NFC (3300036869) (MER-FS) (assembled)",03NFC,115,22
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3PFC (3300036870) (MER-FS) (assembled)",03PFC,95,23
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3Pre (3300036865) (MER-FS) (assembled)",03Pre,71,29
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6NFC (3300036871) (MER-FS) (assembled)",06NFC,83,16
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6PFC (3300036872) (MER-FS) (assembled)",06PFC,70,23
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6Pre (3300036988) (MER-FS) (assembled)",06Pre,43,15
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8NFC (3300036873) (MER-FS) (assembled)",08NFC,143,30
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8PFC (3300036992) (MER-FS) (assembled)",08PFC,41,12
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8Pre (3300036866) (MER-FS) (assembled)",08Pre,82,46
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9NFC (3300036993) (MER-FS) (assembled)",09NFC,16,2
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9PFC (3300036994) (MER-FS) (assembled)",09PFC,14,5
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9Pre (3300036867) (MER-FS) (assembled)",09Pre,60,30