Genome,Sample,KO:K00362,KO:K00363,KO:K00370,KO:K00371,KO:K00374,KO:K02567,KO:K02568,KO:K03385,KO:K15876
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10NFC (3300036874) (MER-FS) (assembled)",10NFC,68,38,113,52,28,19,8,44,15
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10PFC (3300036875) (MER-FS) (assembled)",10PFC,61,38,124,54,32,25,8,34,23
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10Pre (3300036989) (MER-FS) (assembled)",10Pre,41,12,77,43,18,6,1,21,5
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11NFC (3300036995) (MER-FS) (assembled)",11NFC,43,25,75,32,10,20,4,31,12
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11PFC (3300036896) (MER-FS) (assembled)",11PFC,83,35,99,51,27,23,9,38,17
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11Pre (3300036868) (MER-FS) (assembled)",11Pre,66,27,81,39,25,19,4,29,15
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12NFC (3300036897) (MER-FS) (assembled)",12NFC,50,43,102,49,25,19,10,35,11
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12PFC (3300036898) (MER-FS) (assembled)",12PFC,71,46,118,59,27,24,8,43,14
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12Pre (3300036990) (MER-FS) (assembled)",12Pre,24,25,72,28,16,16,7,13,7
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16NFC (3300036899) (MER-FS) (assembled)",16NFC,74,35,94,56,26,8,3,30,14
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16PFC (3300036996) (MER-FS) (assembled)",16PFC,41,18,79,39,22,7,1,16,6
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16Pre (3300036991) (MER-FS) (assembled)",16Pre,37,14,53,26,14,2,1,11,6
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3NFC (3300036869) (MER-FS) (assembled)",03NFC,59,30,114,58,26,30,7,46,20
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3PFC (3300036870) (MER-FS) (assembled)",03PFC,62,32,135,66,38,16,7,39,18
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3Pre (3300036865) (MER-FS) (assembled)",03Pre,69,41,109,64,22,21,7,38,22
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6NFC (3300036871) (MER-FS) (assembled)",06NFC,70,37,129,65,42,14,4,53,16
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6PFC (3300036872) (MER-FS) (assembled)",06PFC,80,37,130,54,28,9,4,40,22
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6Pre (3300036988) (MER-FS) (assembled)",06Pre,53,17,84,44,23,3,1,20,8
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8NFC (3300036873) (MER-FS) (assembled)",08NFC,98,41,151,69,36,33,7,49,29
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8PFC (3300036992) (MER-FS) (assembled)",08PFC,39,16,65,32,18,16,3,22,12
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8Pre (3300036866) (MER-FS) (assembled)",08Pre,109,46,157,73,37,27,10,38,21
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9NFC (3300036993) (MER-FS) (assembled)",09NFC,25,12,54,24,9,12,6,14,8
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9PFC (3300036994) (MER-FS) (assembled)",09PFC,17,10,32,16,8,16,5,15,6
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9Pre (3300036867) (MER-FS) (assembled)",09Pre,68,28,88,58,21,17,5,26,15